id,match_id,event_id,minute,second,team_id,expanded_minute,player_id,x,y,end_x,end_y,qualifiers,satisfied_events_types,is_touch,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,related_event_id,related_player_id,card_type,is_goal,type,outcome_type,period,shirt_no,name,position,is_first_eleven
2780416297,1835055,115,17,19,78,17,356176,28.1,12.7,44.1,7.3,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.07""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""7.3""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""44.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]","[91,117,30,36,38,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,8,Michel Adopo,MC,true
2780416329,1835055,190,17,22,87,17,332419,55.6,87,,,"[{""type"":{""value"":13,""displayName"":""Foul""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""117""}]",[64],false,,,,,false,,,false,false,Foul,Unsuccessful,FirstHalf,6,Lloyd Kelly,DC,true
2780416339,1835055,117,17,22,78,17,369414,44.4,13,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""190""},{""type"":{""value"":13,""displayName"":""Foul""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":286,""displayName"":""Offensive""}}]","[91,63]",true,,,,,false,,,false,false,Foul,Successful,FirstHalf,91,Roberto Piccoli,FW,true
2780416445,1835055,118,17,39,78,17,371396,42.4,12.1,36.6,37.8,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""37.8""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.5""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.91""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""36.6""},{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,117,30,132,35,37,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,28,Gabriele Zappa,DR,true
2780416487,1835055,119,17,42,78,17,318432,36.6,37.8,38.4,70.9,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""22.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""38.4""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.49""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""70.9""}]","[91,117,30,36,37,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,26,Yerry Mina,DC,true
2780416499,1835055,120,17,47,78,17,255292,52,84.1,63.9,95.1,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""95.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""63.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.6""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.54""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,119,117,30,36,37,216,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,6,Sebastiano Luperto,DC,true
2780416501,1835055,121,17,49,78,17,343559,63.9,95.1,65.6,92.7,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""92.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.54""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""65.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""2.4""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]","[91,120,29,36,38,216,218]",true,,,,,false,,,false,false,Pass,Unsuccessful,FirstHalf,3,Tommaso Augello,DL,true
2780416529,1835055,192,17,49,87,17,409221,34.4,3.8,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""122""}]",[64],false,,,,,false,,,false,false,Foul,Unsuccessful,FirstHalf,7,Francisco Conceicao,AMR,true
2780416715,1835055,124,18,17,78,18,343559,70.5,94.3,87.8,41.6,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""40.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":2,""displayName"":""Cross""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""87.8""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""41.6""},{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.18""},{""type"":{""value"":72,""displayName"":""LeftFoot""}}]","[91,138,124,126,36,38,217,218]",true,,,,,false,,,false,false,Pass,Unsuccessful,FirstHalf,3,Tommaso Augello,DL,true
2780416733,1835055,193,18,19,87,18,439909,11.1,59.7,28.9,80.1,"[{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""80.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.64""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""23.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""28.9""}]","[91,94,95,57,215]",true,,,,,false,,,false,false,Clearance,Successful,FirstHalf,4,Federico Gatti,DC,true
2780416781,1835055,125,18,24,78,18,130368,69.7,2.8,,,"[{""type"":{""value"":211,""displayName"":""OverRun""}},{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""}]","[91,204]",true,,,,,false,,,false,false,TakeOn,Unsuccessful,FirstHalf,14,Alessandro Deiola,MC,true
2780417097,1835055,196,18,57,87,18,423440,25.2,100,42.8,95,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""95.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.04""},{""type"":{""value"":107,""displayName"":""ThrowIn""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.8""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""19.0""}]","[91,212,36,38,216]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,27,Andrea Cambiaso,DL,true
2780417103,1835055,197,18,59,87,18,494525,42.8,95,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":21,""displayName"":""OtherBodyPart""}}]",[91],true,,,,,false,,,false,false,BallTouch,Successful,FirstHalf,10,Kenan Yildiz,AML,true
2780417155,1835055,198,19,2,87,19,423440,30.1,82.2,20.5,74.2,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""11.5""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""20.5""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.64""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""74.2""}]","[91,117,30,35,38,215,218]",true,,,,,false,,,false,false,Pass,Successful,FirstHalf,27,Andrea Cambiaso,DL,true
